Date,Nifty,Nikkei,HangSeng,DAX,SP500,Nasdaq,US_10Y,DXY,Gold,Oil,Bitcoin
2016-02-05,7489.10009765625,16819.58984375,19288.169921875,9286.23046875,1880.050048828125,4024.469970703125,1.8480000495910645,97.02999877929688,1157.800048828125,34.060001373291016,386.54901123046875
2016-02-06,7489.10009765625,16819.58984375,19288.169921875,9286.23046875,1880.050048828125,4024.469970703125,1.8480000495910645,97.02999877929688,1157.800048828125,34.060001373291016,376.5220031738281
2016-02-07,7489.10009765625,16819.58984375,19288.169921875,9286.23046875,1880.050048828125,4024.469970703125,1.8480000495910645,97.02999877929688,1157.800048828125,34.060001373291016,376.6199951171875
2016-02-08,7387.25,17004.30078125,19288.169921875,8979.3603515625,1853.43994140625,3960.669921875,1.7350000143051147,96.56999969482422,1197.9000244140625,32.880001068115234,373.4469909667969
2016-02-09,7298.2001953125,16085.4404296875,19288.169921875,8879.400390625,1852.2099609375,3947.800048828125,1.7289999723434448,96.06999969482422,1198.699951171875,30.31999969482422,376.02899169921875
2016-02-10,7215.7001953125,15713.3896484375,19288.169921875,9017.2900390625,1851.8599853515625,3966.280029296875,1.7050000429153442,95.88999938964844,1194.699951171875,30.84000015258789,381.64898681640625
2016-02-11,6976.35009765625,15713.3896484375,18545.80078125,8752.8701171875,1829.0799560546875,3962.219970703125,1.6440000534057617,95.55999755859375,1247.9000244140625,30.059999465942383,379.65399169921875
2016-02-12,6980.9501953125,14952.6103515625,18319.580078125,8967.509765625,1864.780029296875,4019.18994140625,1.7480000257492065,95.9800033569336,1239.0999755859375,33.36000061035156,384.26300048828125
2016-02-13,6980.9501953125,14952.6103515625,18319.580078125,8967.509765625,1864.780029296875,4019.18994140625,1.7480000257492065,95.9800033569336,1239.0999755859375,33.36000061035156,391.8599853515625
2016-02-14,6980.9501953125,14952.6103515625,18319.580078125,8967.509765625,1864.780029296875,4019.18994140625,1.7480000257492065,95.9800033569336,1239.0999755859375,33.36000061035156,407.2300109863281
2016-02-15,7162.9501953125,16022.580078125,18918.140625,9206.83984375,1864.780029296875,4019.18994140625,1.7480000257492065,95.9800033569336,1239.0999755859375,33.36000061035156,400.18499755859375
2016-02-16,7048.25,16054.4296875,19122.080078125,9135.1103515625,1895.5799560546875,4104.330078125,1.777999997138977,96.87000274658203,1207.9000244140625,32.18000030517578,407.4880065917969
2016-02-17,7108.4501953125,15836.3603515625,18924.5703125,9377.2099609375,1926.8199462890625,4199.10009765625,1.819000005722046,96.79000091552734,1211.0999755859375,34.5,416.3219909667969
2016-02-18,7191.75,16196.7998046875,19363.080078125,9463.6396484375,1917.8299560546875,4151.490234375,1.7589999437332153,96.94999694824219,1226.0999755859375,34.279998779296875,422.37298583984375
2016-02-19,7210.75,15967.169921875,19285.5,9388.0498046875,1917.780029296875,4164.08984375,1.7480000257492065,96.5999984741211,1230.4000244140625,33.0099983215332,420.7850036621094
2016-02-20,7210.75,15967.169921875,19285.5,9388.0498046875,1917.780029296875,4164.08984375,1.7480000257492065,96.5999984741211,1230.4000244140625,33.0099983215332,437.16400146484375
2016-02-21,7210.75,15967.169921875,19285.5,9388.0498046875,1917.780029296875,4164.08984375,1.7480000257492065,96.5999984741211,1230.4000244140625,33.0099983215332,438.7980041503906
2016-02-22,7234.5498046875,16111.0498046875,19464.08984375,9573.58984375,1945.5,4231.27001953125,1.7660000324249268,97.37999725341797,1209.5,34.689998626708984,437.74798583984375
2016-02-23,7109.5498046875,16052.0498046875,19414.779296875,9416.76953125,1921.27001953125,4162.5400390625,1.7450000047683716,97.4800033569336,1222.300048828125,33.27000045776367,420.7359924316406
2016-02-24,7018.7001953125,15915.7900390625,19192.44921875,9167.7998046875,1929.800048828125,4200.66015625,1.7419999837875366,97.45999908447266,1238.699951171875,34.40999984741211,424.9549865722656
2016-02-25,6970.60009765625,16140.33984375,18888.75,9331.48046875,1951.699951171875,4241.06005859375,1.6970000267028809,97.29000091552734,1238.199951171875,35.290000915527344,424.54400634765625
2016-02-26,7029.75,16188.41015625,19364.150390625,9513.2998046875,1948.050048828125,4235.6201171875,1.7619999647140503,98.1500015258789,1219.800048828125,35.099998474121094,432.1520080566406
2016-02-27,7029.75,16188.41015625,19364.150390625,9513.2998046875,1948.050048828125,4235.6201171875,1.7619999647140503,98.1500015258789,1219.800048828125,35.099998474121094,432.5190124511719
2016-02-28,7029.75,16188.41015625,19364.150390625,9513.2998046875,1948.050048828125,4235.6201171875,1.7619999647140503,98.1500015258789,1219.800048828125,35.099998474121094,433.5039978027344
2016-02-29,6987.0498046875,16026.759765625,19111.9296875,9495.400390625,1932.22998046875,4201.1201171875,1.7400000095367432,98.20999908447266,1233.9000244140625,35.970001220703125,437.6969909667969
2016-03-01,7222.2998046875,16085.509765625,19407.4609375,9717.16015625,1978.3499755859375,4333.60986328125,1.8339999914169312,98.3499984741211,1230.300048828125,35.959999084472656,435.12298583984375
2016-03-02,7368.85009765625,16746.55078125,20003.490234375,9776.6201171875,1986.449951171875,4334.39013671875,1.8480000495910645,98.20999908447266,1241.0999755859375,36.93000030517578,423.989013671875
2016-03-03,7475.60009765625,16960.16015625,19941.759765625,9751.919921875,1993.4000244140625,4325.85986328125,1.8300000429153442,97.56999969482422,1257.4000244140625,37.06999969482422,421.6510009765625
2016-03-04,7485.35009765625,17014.779296875,20176.69921875,9824.169921875,1999.989990234375,4329.0,1.8830000162124634,97.33999633789062,1269.9000244140625,38.720001220703125,410.9389953613281
2016-03-05,7485.35009765625,17014.779296875,20176.69921875,9824.169921875,1999.989990234375,4329.0,1.8830000162124634,97.33999633789062,1269.9000244140625,38.720001220703125,400.57000732421875
2016-03-06,7485.35009765625,17014.779296875,20176.69921875,9824.169921875,1999.989990234375,4329.0,1.8830000162124634,97.33999633789062,1269.9000244140625,38.720001220703125,407.7070007324219
2016-03-07,7485.35009765625,16911.3203125,20159.720703125,9778.9296875,2001.760009765625,4303.330078125,1.9019999504089355,97.06999969482422,1263.199951171875,40.84000015258789,414.3210144042969
2016-03-08,7485.2998046875,16783.150390625,20011.580078125,9692.8203125,1979.260009765625,4265.509765625,1.8320000171661377,97.20999908447266,1262.0999755859375,39.650001525878906,413.97198486328125
2016-03-09,7531.7998046875,16642.19921875,19996.259765625,9723.08984375,1989.260009765625,4293.22998046875,1.8919999599456787,97.16999816894531,1256.5999755859375,41.06999969482422,414.8599853515625
2016-03-10,7486.14990234375,16852.349609375,19984.419921875,9498.150390625,1989.5699462890625,4286.97021484375,1.9290000200271606,96.06999969482422,1272.0,40.04999923706055,417.1310119628906
2016-03-11,7510.2001953125,16938.869140625,20199.599609375,9831.1298828125,2022.18994140625,4361.830078125,1.9769999980926514,96.16999816894531,1258.699951171875,40.38999938964844,421.69000244140625
2016-03-12,7510.2001953125,16938.869140625,20199.599609375,9831.1298828125,2022.18994140625,4361.830078125,1.9769999980926514,96.16999816894531,1258.699951171875,40.38999938964844,411.6239929199219
2016-03-13,7510.2001953125,16938.869140625,20199.599609375,9831.1298828125,2022.18994140625,4361.830078125,1.9769999980926514,96.16999816894531,1258.699951171875,40.38999938964844,414.06500244140625
2016-03-14,7538.75,17233.75,20435.33984375,9990.259765625,2019.6400146484375,4367.330078125,1.9630000591278076,96.62000274658203,1244.4000244140625,39.529998779296875,416.43798828125
2016-03-15,7460.60009765625,17117.0703125,20288.76953125,9933.849609375,2015.9300537109375,4367.080078125,1.9589999914169312,96.62999725341797,1230.4000244140625,38.7400016784668,416.8299865722656
2016-03-16,7498.75,16974.44921875,20257.69921875,9983.41015625,2027.219970703125,4404.2001953125,1.937999963760376,95.88999938964844,1229.300048828125,40.33000183105469,417.010986328125
2016-03-17,7512.5498046875,16936.380859375,20503.810546875,9892.2001953125,2040.5899658203125,4400.259765625,1.902999997138977,94.76000213623047,1264.5,41.540000915527344,420.6210021972656
2016-03-18,7604.35009765625,16724.810546875,20671.630859375,9950.7998046875,2049.580078125,4410.830078125,1.871000051498413,94.98999786376953,1253.800048828125,41.20000076293945,409.5480041503906
2016-03-19,7604.35009765625,16724.810546875,20671.630859375,9950.7998046875,2049.580078125,4410.830078125,1.871000051498413,94.98999786376953,1253.800048828125,41.20000076293945,410.4440002441406
2016-03-20,7604.35009765625,16724.810546875,20671.630859375,9950.7998046875,2049.580078125,4410.830078125,1.871000051498413,94.98999786376953,1253.800048828125,41.20000076293945,413.7550048828125
2016-03-21,7704.25,16724.810546875,20684.150390625,9948.6396484375,2051.60009765625,4426.97998046875,1.9229999780654907,95.29000091552734,1243.800048828125,41.540000915527344,413.3070068359375
2016-03-22,7714.89990234375,17048.55078125,20666.75,9990.0,2049.800048828125,4437.6201171875,1.934999942779541,95.6500015258789,1248.199951171875,41.790000915527344,418.0889892578125
2016-03-23,7716.5,17000.98046875,20615.23046875,10022.9296875,2036.7099609375,4402.56005859375,1.875,96.05000305175781,1223.699951171875,40.470001220703125,418.0409851074219
2016-03-24,7716.5,16892.330078125,20345.609375,9851.349609375,2035.93994140625,4405.52978515625,1.899999976158142,96.13999938964844,1221.4000244140625,40.439998626708984,416.3940124511719
2016-03-25,7716.5,17002.75,20345.609375,9851.349609375,2035.93994140625,4405.52978515625,1.899999976158142,96.13999938964844,1221.4000244140625,40.439998626708984,417.177001953125
